College Code,College Name,2023,2024,Difference
2025,Anna University Regional Campus - CoimbatoreMaruthamalai Main Road  Navavoor BharathiyarUniversity Post  Somayampalayam  CoimbatoreDistrict 641046,271,299,28
2302,"Sri Shanmugha College of Engineering andTechnology (Autonomous), Pullipalayam, Morur(PO),Sankari Taluk, Salem District-637304.",329,355,26
2327,"N.S.N. College of Engineering and Technology, N.S.N,Kalvi Nagar, Karur - Madurai NH-7, Manalmedu, Karur639003.",311,382,71
2329,"Rathinam Technical Campus (Autonomous), RathinamTechzone Campus, Pollachi Road, Eachanari,Coimbatore-641021.",281,584,303
2332,"Aishwarya College of Engineering and Technology,Errattaikarad, Paruvachi (Post), Anthiyur, Bhavani(Taluk), Erode District-638312.",212,212,0
2338,"Asian College of Engineering and Technology,294/2,Asian College Road, Kondayampalayam, NearSaravanampatti, Coimbatore-641110.",244,264,20
2341,"Ganesh College of Engineering, Attur Main Road,Mettupatti, Salem-636111.",248,324,76
2342,"Sri Ranganathar Institute of Engineering andTechnology, S.F No:162, Athipalayam village,Thudiyalur-kovilpalayam Road, Coimbatore-641110.",240,266,26
2343,Indian Institute of Handloom Technology  Foulke'sCompound  Thillai Nagar  Salem District 636001,26,27,1
2345,"Dhirajlal Gandhi College of Technology,Sikkanampatty, Opposite to Airport,Omalur Taluk,Salem District-636309.",414,478,64
2346,"Shree Sathyam College of Engineering andTechnology, Manjakkal Patti, Kuppanur Post, SankariTaluk, Salem District-637301.",176,177,1
2347,"A V S College of Technology, Attur Main Road, NearAVS College of Arts & Science, Chinnagoundapuram,Salem-636106.",264,308,44
2349,"Dhaanish Ahmed Institute of Technology, PitchanurVillage, Coimbatore-641018.",185,272,87
2350,"Jairupaa College of Engineering, Thottiapalayam,Kathankanni-Po, Kangayam-Tk, Tiruppur-641604.",177,177,0
2354,"Pollachi Institute of Engineering and Technology,107/1, Poosaripatti Village, Pollachi to Dharapuramroad, Poosaripatti(post) Pollachi, Coimbatore-642205.",175,210,35
2356,"Arulmurugan College of Engineering, Karvazhi Road,Thennilai, Aravakurichy Taluk, Karur-639206.",188,217,29
2357,"V.S.B. College of Engineering Technical Campus(Autonomous), S.F. No.91/2A,91/2B,252, 253/1,Solavampalayam Village, Kinathukadavu, PollachiTaluk, Coimbatore District-642109.",480,591,111
2360,"Suguna College of Engineering, Nehru Nagar (West),Kalapatti Road, Civil Aerodrome (Post), Coimbatore-641014.",208,241,33
2367,"Arjun College of Technology, 310/1B,Chettiyakkapalayam, Kinathukadavu, Coimbatore-642120.",212,368,156
2368,"Vishnu Lakshmi College of Engineering andTechnology, 10/1,Kambar Street,Kanjikonampalayam, Vellalore(PO), Coimbatore-641111.",176,158,-18
2369,Government College of Engineering  Chettikkarai PostDharmapuri District 635704,269,272,3
2377,"PSG Institute of Technology and Applied Research,Avinashi Road,Neelambur, Sulur,Coimbatore -641062.",281,353,72
2378,"Cheran College of Technology, Cheran Nagar,Thittuparai, Kangeyam, Tiruppur-638701.",140,217,77
2601,"Adhiyamaan College of Engineering (Autonomous),Aeri Campus, Dr.M.G.R.Nagar, Hosur, KrishnagiriDistrict-635109.",592,654,62
2602,"Annai Mathammal Sheela Engineering College,Erumapatty Post, Namakkal-637013.",194,194,0
2603,Government College of Engineering (Autonomous)Bargur  Krishnagiri District 635104,213,217,4
2607,"K S Rangasamy College of Technology (Autonomous),K.S.R Kalvi Nagar, Thokkavadi, Tiruchengode Tk,Namakkal-637215.",664,648,-16
2608,"M.Kumarasamy College of Engineering(Autonomous), Thalavapalayam Post,PunjaiThottakkurichi Village, Karur Tk, Karur-639113.",632,709,77
2609,"Mahendra Engineering College (Autonomous),Mahendhirapuri, Mallasamudram West,Vadugapalayam Post,Tiruchengodu Taluk, NamakkalDistrict-637503.",874,841,-33
2610,"Muthayammal Engineering College (Autonomous),Kakkaveri, Rasipuram (Tk), Namakkal District-637408.",992,1238,246
2611,"Paavai Engineering College (Autonomous), NH-7,Paavai Nagar, Pachal, Namakkal-637018.",1189,1371,182
